key1;column_id1;key2;column_id2
SalesTerritoryHistoryBusinessEntityID;168;SalesPersonBusinessEntityID;153
SalesTerritoryHistoryTerritoryID;791;SalesTerritoryTerritoryID;790
ShoppingCartItemProductID;586;ProductProductID;583
SpecialOfferProductProductID;590;ProductProductID;583
SpecialOfferProductSpecialOfferID;730;SpecialOfferSpecialOfferID;729
StateProvinceCountryRegionCode;215;CountryRegionCountryRegionCode;217
StateProvinceTerritoryID;793;SalesTerritoryTerritoryID;790
StoreBusinessEntityID;174;BusinessEntityBusinessEntityID;175
StoreSalesPersonID;689;SalesPersonBusinessEntityID;153
TransactionHistoryProductID;592;ProductProductID;583
VendorBusinessEntityID;179;BusinessEntityBusinessEntityID;175
WorkOrderProductID;596;ProductProductID;583
WorkOrderScrapReasonID;706;ScrapReasonScrapReasonID;705
WorkOrderRoutingLocationID;394;LocationLocationID;391
WorkOrderRoutingWorkOrderID;838;WorkOrderWorkOrderID;837
AddressStateProvinceID;752;StateProvinceStateProvinceID;753
BillOfMaterialsProductAssemblyID;578;ProductProductID;583
BillOfMaterialsComponentID;203;ProductProductID;583
BillOfMaterialsUnitMeasureCode;821;UnitMeasureUnitMeasureCode;823
BusinessEntityAddressAddressID;119;AddressAddressID;118
BusinessEntityAddressAddressTypeID;136;AddressTypeAddressTypeID;135
BusinessEntityAddressBusinessEntityID;176;BusinessEntityBusinessEntityID;175
BusinessEntityContactPersonID;549;PersonBusinessEntityID;157
BusinessEntityContactContactTypeID;206;ContactTypeContactTypeID;207
BusinessEntityContactBusinessEntityID;178;BusinessEntityBusinessEntityID;175
CountryRegionCurrencyCountryRegionCode;216;CountryRegionCountryRegionCode;217
CountryRegionCurrencyCurrencyCode;233;CurrencyCurrencyCode;234
CurrencyRateFromCurrencyCode;346;CurrencyCurrencyCode;234
CurrencyRateToCurrencyCode;808;CurrencyCurrencyCode;234
CustomerPersonID;550;PersonBusinessEntityID;157
CustomerStoreID;766;StoreBusinessEntityID;174
CustomerTerritoryID;794;SalesTerritoryTerritoryID;790
DocumentOwner;543;EmployeeBusinessEntityID;181
EmailAddressBusinessEntityID;180;PersonBusinessEntityID;157
EmployeeBusinessEntityID;181;PersonBusinessEntityID;157
EmployeeDepartmentHistoryDepartmentID;253;DepartmentDepartmentID;252
EmployeeDepartmentHistoryBusinessEntityID;182;EmployeeBusinessEntityID;181
EmployeeDepartmentHistoryShiftID;713;ShiftShiftID;712
EmployeePayHistoryBusinessEntityID;152;EmployeeBusinessEntityID;181
JobCandidateBusinessEntityID;154;EmployeeBusinessEntityID;181
PasswordBusinessEntityID;155;PersonBusinessEntityID;157
PersonBusinessEntityID;157;BusinessEntityBusinessEntityID;175
PersonCreditCardBusinessEntityID;158;PersonBusinessEntityID;157
PersonCreditCardCreditCardID;226;CreditCardCreditCardID;227
PersonPhoneBusinessEntityID;160;PersonBusinessEntityID;157
PersonPhonePhoneNumberTypeID;563;PhoneNumberTypePhoneNumberTypeID;564
ProductSizeUnitMeasureCode;726;UnitMeasureUnitMeasureCode;823
ProductWeightUnitMeasureCode;835;UnitMeasureUnitMeasureCode;823
ProductProductModelID;603;ProductModelProductModelID;606
ProductProductSubcategoryID;614;ProductSubcategoryProductSubcategoryID;615
ProductCostHistoryProductID;585;ProductProductID;583
ProductDocumentProductID;587;ProductProductID;583
ProductDocumentDocumentNode;262;DocumentDocumentNode;263
ProductInventoryLocationID;393;LocationLocationID;391
ProductInventoryProductID;588;ProductProductID;583
ProductListPriceHistoryProductID;589;ProductProductID;583
ProductModelIllustrationProductModelID;607;ProductModelProductModelID;606
ProductModelIllustrationIllustrationID;358;IllustrationIllustrationID;357
ProductModelProductDescriptionCultureProductDescriptionID;582;ProductDescriptionProductDescriptionID;581
ProductModelProductDescriptionCultureCultureID;231;CultureCultureID;232
ProductModelProductDescriptionCultureProductModelID;608;ProductModelProductModelID;606
ProductProductPhotoProductID;591;ProductProductID;583
ProductProductPhotoProductPhotoID;612;ProductPhotoProductPhotoID;611
ProductReviewProductID;593;ProductProductID;583
ProductSubcategoryProductCategoryID;580;ProductCategoryProductCategoryID;579
ProductVendorProductID;595;ProductProductID;583
ProductVendorUnitMeasureCode;822;UnitMeasureUnitMeasureCode;823
ProductVendorBusinessEntityID;177;VendorBusinessEntityID;179
PurchaseOrderDetailProductID;597;ProductProductID;583
PurchaseOrderDetailPurchaseOrderID;618;PurchaseOrderHeaderPurchaseOrderID;619
PurchaseOrderHeaderEmployeeID;309;EmployeeBusinessEntityID;181
PurchaseOrderHeaderVendorID;829;VendorBusinessEntityID;179
PurchaseOrderHeaderShipMethodID;718;ShipMethodShipMethodID;717
SalesOrderDetailSalesOrderID;685;SalesOrderHeaderSalesOrderID;686
SalesOrderDetailSpecialOfferID;731;SpecialOfferProductSpecialOfferID;730
SalesOrderDetailProductID;599;SpecialOfferProductProductID;590
SalesOrderHeaderBillToAddressID;145;AddressAddressID;118
SalesOrderHeaderShipToAddressID;721;AddressAddressID;118
SalesOrderHeaderCreditCardID;228;CreditCardCreditCardID;227
SalesOrderHeaderCurrencyRateID;237;CurrencyRateCurrencyRateID;236
SalesOrderHeaderCustomerID;240;CustomerCustomerID;239
SalesOrderHeaderSalesPersonID;690;SalesPersonBusinessEntityID;153
SalesOrderHeaderShipMethodID;719;ShipMethodShipMethodID;717
SalesOrderHeaderTerritoryID;795;SalesTerritoryTerritoryID;790
SalesOrderHeaderSalesReasonSalesReasonID;694;SalesReasonSalesReasonID;695
SalesOrderHeaderSalesReasonSalesOrderID;684;SalesOrderHeaderSalesOrderID;686
SalesPersonBusinessEntityID;153;EmployeeBusinessEntityID;181
SalesPersonTerritoryID;789;SalesTerritoryTerritoryID;790
SalesPersonQuotaHistoryBusinessEntityID;156;SalesPersonBusinessEntityID;153
SalesTaxRateStateProvinceID;750;StateProvinceStateProvinceID;753
SalesTerritoryCountryRegionCode;213;CountryRegionCountryRegionCode;217
