schema_name1;view_name;view_id;trans_id;schema_name2;table_name;table_id
HumanResources;vEmployee;21;888;HumanResources;Employee;95
HumanResources;vEmployee;21;888;Person;Address;57
HumanResources;vEmployee;21;888;Person;BusinessEntityAddress;74
HumanResources;vEmployee;21;888;Person;CountryRegion;81
HumanResources;vEmployee;21;888;Person;EmailAddress;94
HumanResources;vEmployee;21;888;Person;Person;15
HumanResources;vEmployee;21;888;Person;PersonPhone;20
HumanResources;vEmployee;21;888;Person;PhoneNumberType;24
HumanResources;vEmployee;21;888;Person;StateProvince;61
HumanResources;vEmployeeDepartment;23;889;HumanResources;Department;91
HumanResources;vEmployeeDepartment;23;889;HumanResources;Employee;95
HumanResources;vEmployeeDepartment;23;889;HumanResources;EmployeeDepartmentHistory;97
HumanResources;vEmployeeDepartment;23;889;Person;Person;15
HumanResources;vEmployeeDepartmentHistory;25;890;HumanResources;Department;91
HumanResources;vEmployeeDepartmentHistory;25;890;HumanResources;Employee;95
HumanResources;vEmployeeDepartmentHistory;25;890;HumanResources;EmployeeDepartmentHistory;97
HumanResources;vEmployeeDepartmentHistory;25;890;HumanResources;Shift;44
HumanResources;vEmployeeDepartmentHistory;25;890;Person;Person;15
HumanResources;vJobCandidate;29;891;HumanResources;JobCandidate;11
HumanResources;vJobCandidateEducation;31;892;HumanResources;JobCandidate;11
HumanResources;vJobCandidateEmployment;30;893;HumanResources;JobCandidate;11
Person;vAdditionalContactInfo;19;894;Person;Person;15
Person;vStateProvinceCountryRegion;38;895;Person;CountryRegion;81
Person;vStateProvinceCountryRegion;38;895;Person;StateProvince;61
Production;vProductAndDescription;32;896;Production;Product;27
Production;vProductAndDescription;32;896;Production;ProductDescription;49
Production;vProductAndDescription;32;896;Production;ProductModel;59
Production;vProductAndDescription;32;896;Production;ProductModelProductDescriptionCulture;64
Production;vProductModelCatalogDescription;33;897;Production;ProductModel;59
Production;vProductModelInstructions;34;898;Production;ProductModel;59
Purchasing;vVendorWithAddresses;45;899;Person;Address;57
Purchasing;vVendorWithAddresses;45;899;Person;AddressType;60
Purchasing;vVendorWithAddresses;45;899;Person;BusinessEntityAddress;74
Purchasing;vVendorWithAddresses;45;899;Person;CountryRegion;81
Purchasing;vVendorWithAddresses;45;899;Person;StateProvince;61
Purchasing;vVendorWithAddresses;45;899;Purchasing;Vendor;78
Purchasing;vVendorWithContacts;43;900;Person;BusinessEntityContact;76
Purchasing;vVendorWithContacts;43;900;Person;ContactType;79
Purchasing;vVendorWithContacts;43;900;Person;EmailAddress;94
Purchasing;vVendorWithContacts;43;900;Person;Person;15
Purchasing;vVendorWithContacts;43;900;Person;PersonPhone;20
Purchasing;vVendorWithContacts;43;900;Person;PhoneNumberType;24
Purchasing;vVendorWithContacts;43;900;Purchasing;Vendor;78
Sales;vIndividualCustomer;26;901;Person;Address;57
Sales;vIndividualCustomer;26;901;Person;AddressType;60
Sales;vIndividualCustomer;26;901;Person;BusinessEntityAddress;74
Sales;vIndividualCustomer;26;901;Person;CountryRegion;81
Sales;vIndividualCustomer;26;901;Person;EmailAddress;94
Sales;vIndividualCustomer;26;901;Person;Person;15
Sales;vIndividualCustomer;26;901;Person;PersonPhone;20
Sales;vIndividualCustomer;26;901;Person;PhoneNumberType;24
Sales;vIndividualCustomer;26;901;Person;StateProvince;61
Sales;vIndividualCustomer;26;901;Sales;Customer;90
Sales;vPersonDemographics;28;902;Person;Person;15
Sales;vSalesPerson;35;903;HumanResources;Employee;95
Sales;vSalesPerson;35;903;Person;Address;57
Sales;vSalesPerson;35;903;Person;BusinessEntityAddress;74
Sales;vSalesPerson;35;903;Person;CountryRegion;81
Sales;vSalesPerson;35;903;Person;EmailAddress;94
Sales;vSalesPerson;35;903;Person;Person;15
Sales;vSalesPerson;35;903;Person;PersonPhone;20
Sales;vSalesPerson;35;903;Person;PhoneNumberType;24
Sales;vSalesPerson;35;903;Person;StateProvince;61
Sales;vSalesPerson;35;903;Sales;SalesPerson;9
Sales;vSalesPerson;35;903;Sales;SalesTerritory;22
Sales;vSalesPersonSalesByFiscalYears;37;904;HumanResources;Employee;95
Sales;vSalesPersonSalesByFiscalYears;37;904;Person;Person;15
Sales;vSalesPersonSalesByFiscalYears;37;904;Sales;SalesOrderHeader;96
Sales;vSalesPersonSalesByFiscalYears;37;904;Sales;SalesPerson;9
Sales;vSalesPersonSalesByFiscalYears;37;904;Sales;SalesTerritory;22
Sales;vStoreWithAddresses;42;905;Person;Address;57
Sales;vStoreWithAddresses;42;905;Person;AddressType;60
Sales;vStoreWithAddresses;42;905;Person;BusinessEntityAddress;74
Sales;vStoreWithAddresses;42;905;Person;CountryRegion;81
Sales;vStoreWithAddresses;42;905;Person;StateProvince;61
Sales;vStoreWithAddresses;42;905;Sales;Store;66
Sales;vStoreWithContacts;40;906;Person;BusinessEntityContact;76
Sales;vStoreWithContacts;40;906;Person;ContactType;79
Sales;vStoreWithContacts;40;906;Person;EmailAddress;94
Sales;vStoreWithContacts;40;906;Person;Person;15
Sales;vStoreWithContacts;40;906;Person;PersonPhone;20
Sales;vStoreWithContacts;40;906;Person;PhoneNumberType;24
Sales;vStoreWithContacts;40;906;Sales;Store;66
Sales;vStoreWithDemographics;39;907;Sales;Store;66
